epoch,train_loss,valid_auc,valid_acc
1,0.5357752375491062,0.7121035369246167,0.7488150736260207
2,0.5205868302693584,0.7207688290593717,0.7544793623295604
3,0.5165775758004963,0.7250336919972369,0.7549854499800485
4,0.5144516452758554,0.7268361023354358,0.7558224410943172
5,0.5126960489683148,0.7286711291860539,0.7574574935035864
6,0.5113933786909265,0.7298685530214704,0.7571168575849887
7,0.5101755235255607,0.7304152495525513,0.7570487304012691
8,0.5092475614033168,0.7316066199835567,0.7580317083377941
9,0.5083628682107616,0.7318323023383413,0.7575158882324888
10,0.507856869951416,0.7324078742759454,0.758391809166026
11,0.5069308916326621,0.7326913845368146,0.7583820767112088
12,0.5062775421399293,0.7328841787062716,0.7583139495274893
13,0.5055070193552585,0.7331681993082699,0.7585572608979163
14,0.5048576407409071,0.7331484935397341,0.7591022783676726
15,0.504156682864236,0.7334265698498312,0.7586740503557212
16,0.5035620682456388,0.7336192625421911,0.7585377959882821
17,0.5028393208998866,0.7333076990363286,0.7589270941809653
18,0.5022300648953941,0.733055761699382,0.758148497795599
19,0.5014880159141282,0.7335034761890962,0.7582166249793185
20,0.5012186888463865,0.7330642217366001,0.7579343837896233
21,0.5004582023658546,0.7331767223992185,0.757895453970355
22,0.4998958508678826,0.7329429098077815,0.7576229452354768
23,0.4992351251054495,0.7335642668815932,0.7580511732474282
24,0.4985923125159176,0.7328228596924798,0.7580317083377941
25,0.4983746563612838,0.7329251569807591,0.7576326776902939
26,0.4973246276596184,0.7324878729573344,0.7574185636843181
27,0.49704340356215165,0.732412277692313,0.7571265900398058
28,0.4966272804166366,0.7325006477416118,0.7566788971182201
29,0.49585296205071405,0.7321733392759504,0.7567762216663909
30,0.49519552792117716,0.7323024642023407,0.7571947172235253
31,0.49474882148088134,0.7321422759542466,0.7563674585640736
32,0.49382722268079876,0.7316652537951314,0.7564745155670615
33,0.49344000021299844,0.7311951714872057,0.756036555100293
34,0.4928869994371185,0.7312353862204279,0.75604628755511
35,0.4923731781221381,0.7308700334491663,0.755919765642488
36,0.4916162776521609,0.7307647359363223,0.755793243729866
37,0.49091245248935594,0.7305629590733359,0.7551995639860242
38,0.4904683819547868,0.7303084993408743,0.7553844806275487
39,0.49010874380050423,0.7297019680216997,0.7552190288956584
40,0.48923935003216146,0.7295351271124533,0.7551022394378534
41,0.4887595802263018,0.7289755040740568,0.755170366621573
42,0.48798010178051787,0.7284765606452182,0.7546350816066336
43,0.4874334283735058,0.7282083234263854,0.753807822947182
44,0.4866510139437238,0.7281355542492596,0.7547518710644385
45,0.4862778424039947,0.727183016324054,0.754187388685048
46,0.4853138784740403,0.727075314148832,0.7537202308538282
