short_title,status,gpu_id,duration_minutes,beta_skill_init,m_sat_init,gamma_student_init,sigmoid_offset,bce_loss_weight,encoder2_test_auc,encoder1_test_auc,test_auc,test_acc,exp_dir
lc_b2.0_m0.8_g0.9_o2.5,failed,3,0.08,2.0,0.8,0.9,2.5,0.2,0.0000,0.0000,0.0000,0.0000,
lc_b2.0_m0.8_g1.0_o1.5,failed,4,0.08,2.0,0.8,1.0,1.5,0.2,0.0000,0.0000,0.0000,0.0000,
lc_b2.0_m0.8_g1.0_o2.0,failed,5,0.08,2.0,0.8,1.0,2.0,0.2,0.0000,0.0000,0.0000,0.0000,
lc_b2.0_m0.8_g1.0_o2.5,failed,6,0.09,2.0,0.8,1.0,2.5,0.2,0.0000,0.0000,0.0000,0.0000,
lc_b2.0_m0.8_g1.1_o1.5,failed,0,0.08,2.0,0.8,1.1,1.5,0.2,0.0000,0.0000,0.0000,0.0000,
lc_b2.0_m0.8_g1.1_o2.0,failed,1,0.08,2.0,0.8,1.1,2.0,0.2,0.0000,0.0000,0.0000,0.0000,
lc_b2.0_m0.8_g1.1_o2.5,failed,2,0.08,2.0,0.8,1.1,2.5,0.2,0.0000,0.0000,0.0000,0.0000,
lc_b2.0_m0.9_g0.9_o1.5,failed,3,0.08,2.0,0.9,0.9,1.5,0.2,0.0000,0.0000,0.0000,0.0000,
lc_b2.0_m0.9_g0.9_o2.0,failed,4,0.08,2.0,0.9,0.9,2.0,0.2,0.0000,0.0000,0.0000,0.0000,
lc_b2.0_m0.9_g0.9_o2.5,failed,5,0.08,2.0,0.9,0.9,2.5,0.2,0.0000,0.0000,0.0000,0.0000,
lc_b2.0_m0.9_g1.0_o1.5,failed,6,0.08,2.0,0.9,1.0,1.5,0.2,0.0000,0.0000,0.0000,0.0000,
lc_b2.0_m0.9_g1.0_o2.0,failed,0,0.08,2.0,0.9,1.0,2.0,0.2,0.0000,0.0000,0.0000,0.0000,
lc_b2.0_m0.9_g1.1_o2.0,failed,3,0.08,2.0,0.9,1.1,2.0,0.2,0.0000,0.0000,0.0000,0.0000,
lc_b2.0_m0.9_g1.0_o2.5,failed,1,0.08,2.0,0.9,1.0,2.5,0.2,0.0000,0.0000,0.0000,0.0000,
lc_b2.0_m0.9_g1.1_o1.5,failed,2,0.08,2.0,0.9,1.1,1.5,0.2,0.0000,0.0000,0.0000,0.0000,
lc_b2.0_m0.9_g1.1_o2.5,failed,4,0.08,2.0,0.9,1.1,2.5,0.2,0.0000,0.0000,0.0000,0.0000,
lc_b2.5_m0.7_g0.9_o1.5,failed,5,0.08,2.5,0.7,0.9,1.5,0.2,0.0000,0.0000,0.0000,0.0000,
lc_b2.5_m0.7_g0.9_o2.0,failed,6,0.09,2.5,0.7,0.9,2.0,0.2,0.0000,0.0000,0.0000,0.0000,
