epoch,train_loss,valid_auc,valid_acc,l_sup,l_ref,l_initmastery,l_rate
1,0.6179912647405752,0.688555229976634,0.743647140118152,0.541731172940073,0.011302790225729577,0.004721570785956156,0.011165073359170613
2,0.5756768503729549,0.6906932753211429,0.7452919249822383,0.533108523380681,0.007647972032813828,0.00047867111373812294,0.0006870785603061979
3,0.5699264056470349,0.6932934860358722,0.7451751355244334,0.5320043234829757,0.006860755610767115,0.0003279547556860362,0.0004701739704935534
4,0.5665953847864746,0.6948327783299659,0.7444743987776037,0.5314161950467046,0.006383755835439103,0.0002626876968593562,0.0003830356208137515
5,0.5640211187028994,0.6971982045391188,0.7446593154191282,0.5306032678932161,0.006075662242277608,0.0002258759171305641,0.0003289201799054681
6,0.5623748765972326,0.6979792575000602,0.744026705856018,0.5303212641205647,0.005835198087936238,0.00020085051897982188,0.0002932420807682603
7,0.560747550629024,0.6992094426744326,0.7437249997566886,0.5296852208818493,0.005660769423479552,0.0001820083097251023,0.0002665367313044705
8,0.5596053122661996,0.6982262337892123,0.7441240304041888,0.5294947003827497,0.005491703377139074,0.0001670153824861654,0.0002462122217826498
9,0.5583021315760256,0.6990669308992348,0.744026705856018,0.5292418337307332,0.005302653293284573,0.0001554774085535552,0.0002314178274545122
10,0.5572848450664792,0.6981768361176062,0.744270017226445,0.5290331641510994,0.005157530561108818,0.00014592454153506602,0.00021824407549749544
