student_idx,global_idx,step,skill_id,actual_response,encoder1_pred,encoder2_pred,encoder1_binary,encoder2_binary,encoder1_match,encoder2_match,mastery,expected_gain,theta_global,threshold_temp,encoder2_pred_expected,total_steps,unique_skills,accuracy
1,1,1,14,1,0.999961,0.495433,1,0,1,0,0.411983,0.000000,0.439385,1.50,0.495433,11,3,0.8182
1,1,2,14,1,0.999986,0.535196,1,1,1,1,0.650911,0.000000,0.439385,1.50,0.535196,11,3,0.8182
1,1,3,14,0,0.999994,0.455094,1,0,0,1,0.771323,0.000000,0.439385,1.50,0.555098,11,3,0.8182
1,1,4,92,0,0.999906,0.493371,1,0,0,1,0.399612,0.000000,0.439385,1.50,0.493371,11,3,0.8182
1,1,5,92,1,0.994879,0.532079,1,1,1,1,0.632127,0.000000,0.439385,1.50,0.532079,11,3,0.8182
1,1,6,92,1,0.999961,0.551694,1,1,1,1,0.750664,0.000000,0.439385,1.50,0.551694,11,3,0.8182
1,1,7,92,1,0.999807,0.558288,1,1,1,1,0.790708,0.000000,0.439385,1.50,0.558288,11,3,0.8182
1,1,8,92,1,0.999848,0.456064,1,0,1,0,0.802262,0.000000,0.439385,1.50,0.560186,11,3,0.8182
1,1,9,1,1,0.998637,0.496184,1,0,1,0,0.416490,0.000000,0.439385,1.50,0.496184,11,3,0.8182
1,1,10,1,1,0.999722,0.536422,1,1,1,1,0.658304,0.000000,0.439385,1.50,0.536422,11,3,0.8182
1,1,11,1,1,0.997583,0.556334,1,1,1,1,0.778830,0.000000,0.439385,1.50,0.556334,11,3,0.8182
2,2,1,10,1,0.387928,0.456034,0,0,0,0,0.436606,0.000000,0.439385,1.50,0.499537,68,6,0.4265
2,2,2,0,0,0.998265,0.456685,1,0,0,1,0.419796,0.000000,0.439385,1.50,0.496735,68,6,0.4265
2,2,3,7,1,0.956209,0.500493,1,1,1,1,0.442342,0.000000,0.439385,1.50,0.500493,68,6,0.4265
2,2,4,7,0,0.996389,0.542318,1,1,0,0,0.693902,0.000000,0.439385,1.50,0.542318,68,6,0.4265
2,2,5,7,0,0.073395,0.496735,0,0,1,1,0.806736,0.000000,0.439385,1.50,0.560921,68,6,0.4265
2,2,6,0,1,0.101371,0.499537,0,0,0,0,0.661675,0.000000,0.439385,1.50,0.536981,68,6,0.4265
2,2,7,10,1,0.870440,0.540840,1,1,1,1,0.684973,0.000000,0.439385,1.50,0.540840,68,6,0.4265
2,2,8,10,1,0.543493,0.559531,1,1,1,1,0.798272,0.000000,0.439385,1.50,0.559531,68,6,0.4265
2,2,9,10,1,0.114126,0.536981,0,1,0,1,0.832694,0.000000,0.439385,1.50,0.565178,68,6,0.4265
2,2,10,0,0,0.994558,0.556566,1,1,0,0,0.780242,0.000000,0.439385,1.50,0.556566,68,6,0.4265
2,2,11,0,0,0.238422,0.560921,0,1,1,0,0.818983,0.000000,0.439385,1.50,0.562931,68,6,0.4265
2,2,12,7,1,0.327032,0.566490,0,1,0,1,0.840705,0.000000,0.439385,1.50,0.566490,68,6,0.4265
2,2,13,7,1,0.968282,0.567935,1,1,1,1,0.849535,0.000000,0.439385,1.50,0.567935,68,6,0.4265
2,2,14,7,1,0.993333,0.568300,1,1,1,1,0.851764,0.000000,0.439385,1.50,0.568300,68,6,0.4265
2,2,15,7,1,0.774807,0.562931,1,1,1,1,0.852320,0.000000,0.439385,1.50,0.568391,68,6,0.4265
2,2,16,0,1,0.984359,0.564706,1,1,1,1,0.829812,0.000000,0.439385,1.50,0.564706,68,6,0.4265
2,2,17,0,1,0.995540,0.565181,1,1,1,1,0.832711,0.000000,0.439385,1.50,0.565181,68,6,0.4265
2,2,18,0,0,0.999954,0.456504,1,0,0,1,0.833481,0.000000,0.439385,1.50,0.565307,68,6,0.4265
2,2,19,45,0,0.271963,0.497423,0,0,1,1,0.423923,0.000000,0.439385,1.50,0.497423,68,6,0.4265
2,2,20,45,0,0.112451,0.538376,0,1,1,0,0.670093,0.000000,0.439385,1.50,0.538376,68,6,0.4265
2,2,21,45,0,0.272668,0.558443,0,1,1,0,0.791653,0.000000,0.439385,1.50,0.558443,68,6,0.4265
2,2,22,45,0,0.000781,0.450063,0,0,1,1,0.831781,0.000000,0.439385,1.50,0.565029,68,6,0.4265
2,2,23,34,1,0.000228,0.481429,0,0,0,0,0.327909,0.000000,0.439385,1.50,0.481429,68,6,0.4265
2,2,24,34,1,0.939690,0.565029,1,1,1,1,0.519019,0.000000,0.439385,1.50,0.513269,68,6,0.4265
2,2,25,45,1,0.865077,0.566888,1,1,1,1,0.843135,0.000000,0.439385,1.50,0.566888,68,6,0.4265
2,2,26,45,0,0.528740,0.567387,1,1,0,0,0.846185,0.000000,0.439385,1.50,0.567387,68,6,0.4265
2,2,27,45,0,0.102683,0.567519,0,1,1,0,0.846992,0.000000,0.439385,1.50,0.567519,68,6,0.4265
2,2,28,45,0,0.070480,0.567554,0,1,1,0,0.847206,0.000000,0.439385,1.50,0.567554,68,6,0.4265
2,2,29,45,1,0.129355,0.567564,0,1,0,1,0.847263,0.000000,0.439385,1.50,0.567564,68,6,0.4265
2,2,30,45,0,0.659687,0.567566,1,1,0,0,0.847278,0.000000,0.439385,1.50,0.567566,68,6,0.4265
2,2,31,45,0,0.012766,0.456276,0,0,1,1,0.847282,0.000000,0.439385,1.50,0.567567,68,6,0.4265
2,2,32,13,0,0.091096,0.496443,0,0,1,1,0.418043,0.000000,0.439385,1.50,0.496443,68,6,0.4265
2,2,33,13,0,0.034550,0.536912,0,1,1,0,0.661261,0.000000,0.439385,1.50,0.536912,68,6,0.4265
2,2,34,13,1,0.073565,0.557052,0,1,0,1,0.783197,0.000000,0.439385,1.50,0.557052,68,6,0.4265
2,2,35,13,0,0.840714,0.563829,1,1,0,0,0.824461,0.000000,0.439385,1.50,0.563829,68,6,0.4265
2,2,36,13,0,0.030912,0.565766,0,1,1,0,0.836283,0.000000,0.439385,1.50,0.565766,68,6,0.4265
2,2,37,13,1,0.036624,0.566295,0,1,0,1,0.839513,0.000000,0.439385,1.50,0.566295,68,6,0.4265
2,2,38,13,1,0.330004,0.566440,0,1,0,1,0.840394,0.000000,0.439385,1.50,0.566440,68,6,0.4265
2,2,39,13,1,0.693313,0.566478,1,1,1,1,0.840629,0.000000,0.439385,1.50,0.566478,68,6,0.4265
2,2,40,13,1,0.009956,0.513269,0,1,0,1,0.840693,0.000000,0.439385,1.50,0.566488,68,6,0.4265
2,2,41,34,0,0.001669,0.529423,0,1,1,0,0.616128,0.000000,0.439385,1.50,0.529423,68,6,0.4265
2,2,42,34,1,0.000386,0.534803,0,1,0,1,0.648540,0.000000,0.439385,1.50,0.534803,68,6,0.4265
2,2,43,34,0,0.078530,0.536357,0,1,1,0,0.657915,0.000000,0.439385,1.50,0.536357,68,6,0.4265
2,2,44,34,0,0.000465,0.536787,0,1,1,0,0.660505,0.000000,0.439385,1.50,0.536787,68,6,0.4265
2,2,45,34,0,0.000291,0.536903,0,1,1,0,0.661206,0.000000,0.439385,1.50,0.536903,68,6,0.4265
2,2,46,34,0,0.000527,0.536934,0,1,1,0,0.661395,0.000000,0.439385,1.50,0.536934,68,6,0.4265
2,2,47,34,0,0.000237,0.536943,0,1,1,0,0.661446,0.000000,0.439385,1.50,0.536943,68,6,0.4265
